,OBJECTID,Positivas,Negativas,TOTALES,XCOORD,YCOORD,CONTROL,GlobalID
58,65,14609,54105,71139,526296.889053,932307.407911,2425,451a8575-f782-49a4-8887-88b9ae6644dd
59,66,15044,55201,72697,526296.889053,932307.407911,2452,b96db444-a8e5-4c43-b2eb-a6196c2f59c6
60,67,15463,56277,74231,526296.889053,932307.407911,2491,1b77a29c-7fb5-4f2a-bf1d-1cafbdaf0fb0
61,68,16004,57480,76003,526296.889053,932307.407911,2519,957878af-0c75-412c-8f51-7fb8d3021517
62,69,16425,58632,77592,526296.889053,932307.407911,2535,08dc8ce3-d8a7-4356-aace-85789be45bca
63,70,16854,59859,79268,526296.889053,932307.407911,2555,d1f3cba0-5a8d-4834-9a40-3cf257533eae
64,71,17233,60899,80720,526296.889053,932307.407911,2588,d6634702-0846-413c-a111-8f092108eb16
65,72,17889,62284,82774,526296.889053,932307.407911,2601,f694b84f-927d-48f7-ad8d-5325ea7b41f5
66,73,18586,63805,85007,526296.889053,932307.407911,2616,47ebde5e-6215-4bab-acd6-c26ae0e04a02
67,74,19211,65209,87041,526296.889053,932307.407911,2621,d324983b-f793-485d-a94c-dc9af73714d6
68,75,20059,67027,89736,526296.889053,932307.407911,2650,02b228c0-85b1-4b96-94f5-f7c0f560aa23
69,76,20686,68280,91637,526296.889053,932307.407911,2671,b41dabfc-7eb3-49f8-a47e-c476b2c8700c
70,77,21422,69528,93646,526296.889053,932307.407911,2696,142e4595-0127-4950-bbd8-f728900f100b
71,78,21962,70633,95299,526296.889053,932307.407911,2704,0bec2e37-cf1a-4231-847a-d8d0aee48fca
72,79,22597,72084,97402,526296.889053,932307.407911,2721,634b6abb-b0d1-44ce-bd43-60011173b5c5
73,80,23351,73779,99870,526296.889053,932307.407911,2740,d69338bf-5fb6-47a3-bbd5-fc5f07269d08
74,81,24274,75676,102703,526296.889053,932307.407911,2753,39257e5a-2abd-43dd-8142-fbeda585fb71
75,82,25222,77494,105470,526296.889053,932307.407911,2754,3dd81672-936c-4499-9644-2a64979d6bf6
76,83,26030,79096,107903,526296.889053,932307.407911,2777,6985da90-2c22-4026-b9e5-d27d22570594
77,84,26752,80449,109990,526296.889053,932307.407911,2789,46fed546-f7b7-4c92-9663-fda529143771
78,85,27314,81588,111735,526296.889053,932307.407911,2833,2f7bd044-e7fd-4676-badf-9a4a0ca26e6d
79,86,28030,83167,114042,526296.889053,932307.407911,2845,8e72bf34-edf5-4e4a-897e-5e84944d93bb
80,87,29037,85384,117266,526296.889053,932307.407911,2845,8b725fdf-0f27-426f-848d-777bd316cec3
81,91,29905,87545,120303,526296.889053,932307.407911,2853,e3c4c519-fc90-48d5-8f04-c3fd8039d3dc
82,92,30658,89143,122668,526296.889053,932307.407911,2867,4a01d52d-e6a4-4309-8fc9-6ba6c0f34073
83,93,31686,91023,125570,526296.889053,932307.407911,2861,03c862a6-176f-4526-a220-9e5682e75b00
84,94,32785,93124,128795,526296.889053,932307.407911,2886,da0a7ec5-c5bb-4bc6-8d42-3fa4fc58fb17
85,95,33550,94336,130776,526296.889053,932307.407911,2890,d0c1ab18-0111-437d-acd1-07efb2a1e075
86,96,34463,96093,133449,526296.889053,932307.407911,2893,6ddcb91d-1d17-455c-ac98-74bcb3ca0d54
87,97,35237,97666,135801,526296.889053,932307.407911,2898,61a5f097-6164-4943-86d7-bd5182258c3c
88,98,35995,99169,138081,526296.889053,932307.407911,2917,7415dabf-5f74-47b9-a75e-47dc4fc959bb
89,99,36983,101362,141283,526296.889053,932307.407911,2938,5612a93e-95f4-40fb-8ff8-379d607fb4b7
90,100,38149,103818,144918,526296.889053,932307.407911,2951,18879a43-4901-4240-8d07-e1b81ffa554d
91,101,39334,105805,148115,526296.889053,932307.407911,2976,17f592e4-4e3d-4fa8-a6a7-49eaed12eb67
92,102,40291,107269,150542,526296.889053,932307.407911,2982,1cca6482-ade9-4acf-9d63-bb8993afc183
93,103,41251,108893,153148,526296.889053,932307.407911,3004,86bacaef-79ca-493a-9c2c-58942caa8122
94,104,42216,110426,155605,526296.889053,932307.407911,2963,7361b03c-7e95-4d08-a3f0-c6ca75f5c93a
95,105,43257,112407,158669,526296.889053,932307.407911,3005,a77e1c92-02f2-4ce6-8b4a-0fd1b570ebfd
96,106,44332,114238,161466,526296.889053,932307.407911,2896,0262d8ef-5bbf-4522-ac04-5b1f17da6678
97,107,45633,116372,164927,526296.889053,932307.407911,2922,03e0a70d-2b4c-4368-bfc7-a7fb21f45149
98,108,47177,118412,168517,526296.889053,932307.407911,2928,51f5d1be-1de0-48c0-b78f-89b5c60da9dc
99,109,48096,120068,171116,526296.889053,932307.407911,2952,ea7418b0-573c-4f20-a61b-f141cb91ff1b
100,110,49243,122199,174345,526296.889053,932307.407911,2903,33d449de-31fa-473a-b378-64d5838265a1
101,111,50373,124504,177843,526296.889053,932307.407911,2966,6bc349da-6cc2-4da7-8033-c9e8c43ad111
102,112,51408,126411,180814,526296.889053,932307.407911,2995,afed5d38-9719-4a76-ad69-3f8bc63875c8
103,113,52261,128035,183261,526296.889053,932307.407911,2965,e4118dbc-34f6-4b63-bda2-48103615313a
104,114,53468,130598,187041,526296.889053,932307.407911,2975,e5fe5ba5-7a92-4b2f-b10c-a33e6a359274
105,115,54426,132560,189941,526296.889053,932307.407911,2955,87086373-d32d-45e8-8632-5cb53c4065ba
106,116,55153,134046,192085,526296.889053,932307.407911,2886,c37549e0-6ad2-4c93-8690-a325f080a46f
