,OBJECTID,FECHA,TOTAL,NUEVOS,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,XCOORD,YCOORD,GlobalID
0,1,2020/03/09 05:00:00+00,1,1,0,4,0,0,0,526296.889053,932307.407911,d558d065-9f7d-41e4-8dfa-b460d0e57c30
1,2,2020/03/10 05:00:00+00,8,7,1,6,0,1,0,526296.889053,932307.407911,13e8629e-0e1a-40ed-8771-7db52cc31b7e
2,3,2020/03/11 05:00:00+00,14,6,3,9,1,1,0,526296.889053,932307.407911,de014a78-ce80-4330-8258-37803c515fc5
3,4,2020/03/12 05:00:00+00,27,13,4,21,1,1,0,526296.889053,932307.407911,addb4f78-743f-4c0a-846e-3d84000d3d93
4,5,2020/03/13 05:00:00+00,36,9,4,30,1,1,0,526296.889053,932307.407911,cadfbd45-5faa-4408-b79b-b858e8d13037
5,6,2020/03/14 05:00:00+00,43,7,3,37,1,2,0,526296.889053,932307.407911,45e1156e-18a0-4523-895f-22d389dbb1e5
6,7,2020/03/15 05:00:00+00,55,12,4,44,1,6,0,526296.889053,932307.407911,51d061ee-4b5d-497b-a00a-7f7b154fd6c8
7,8,2020/03/16 05:00:00+00,69,14,4,57,1,7,0,526296.889053,932307.407911,bc9d9177-7380-4ee8-948d-a949702b0a2a
8,9,2020/03/17 05:00:00+00,86,17,6,71,1,8,0,526296.889053,932307.407911,9e279915-eedc-4ba6-82aa-b694d2c7efef
9,10,2020/03/18 05:00:00+00,109,23,8,91,1,9,0,526296.889053,932307.407911,459c439b-e3cb-44b7-b11e-e868c5013efc
10,11,2020/03/19 05:00:00+00,137,28,11,115,1,10,0,526296.889053,932307.407911,dd05fb81-1101-4b18-8026-f1091c7ffbb6
11,12,2020/03/20 05:00:00+00,200,63,17,171,1,11,0,526296.889053,932307.407911,3a4a995f-279c-442d-9a3e-5a187cfd68da
12,13,2020/03/21 05:00:00+00,245,45,22,208,3,12,0,526296.889053,932307.407911,e8fc12db-0b59-446e-a823-e5d662bcca58
13,14,2020/03/22 05:00:00+00,313,68,29,268,3,13,0,526296.889053,932307.407911,49677f12-fc68-4143-89b5-43c0797a029a
14,15,2020/03/23 05:00:00+00,345,32,33,289,6,17,0,526296.889053,932307.407911,c1afe1f1-2ab3-4c54-a23e-97592b7ed97e
15,16,2020/03/24 05:00:00+00,443,98,45,373,6,19,0,526296.889053,932307.407911,257b6955-58c3-42b7-a3d8-ae5f15de84ce
16,17,2020/03/25 05:00:00+00,558,115,46,482,8,20,2,526296.889053,932307.407911,ae0c9479-b82c-4a87-9da2-dbae83bd950b
17,18,2020/03/26 05:00:00+00,674,116,62,578,9,23,2,526296.889053,932307.407911,9a7d792b-bbec-478e-bc0f-564d778a7284
18,19,2020/03/27 05:00:00+00,786,112,80,662,14,28,2,526296.889053,932307.407911,8050ce92-de7e-4293-b22a-e221df57ae0b
19,20,2020/03/28 05:00:00+00,901,115,95,753,17,32,4,526296.889053,932307.407911,bcbd3be1-5ea4-47bb-934f-d5a5fdec7a5e
20,21,2020/03/29 05:00:00+00,989,88,105,820,24,36,4,526296.889053,932307.407911,74451332-2a0b-4794-b279-36930fb04934
21,22,2020/03/30 05:00:00+00,1075,86,109,888,26,43,9,526296.889053,932307.407911,1c902d0e-e983-41d7-9dc1-90d0aa02bf99
22,23,2020/03/31 05:00:00+00,1181,106,123,969,30,50,9,526296.889053,932307.407911,0bbec0bf-f9b9-48ee-b29c-3a33d1f2fb1a
23,24,2020/04/01 05:00:00+00,1317,136,135,1078,32,63,9,526296.889053,932307.407911,fafafb52-f4d8-4188-82a7-511d19407e9f
24,25,2020/04/02 05:00:00+00,1475,158,152,1207,37,69,10,526296.889053,932307.407911,5d89c50b-37b6-4788-85cc-05c3e7dbc27b
25,26,2020/04/03 05:00:00+00,1673,198,141,1406,41,72,13,526296.889053,932307.407911,b8e96d53-f90a-4d96-853d-b3c5a8444029
26,27,2020/04/04 05:00:00+00,1801,128,154,1513,46,75,13,526296.889053,932307.407911,37d659bf-8311-431a-81fd-a7530be5e82a
27,28,2020/04/05 05:00:00+00,1988,187,163,1680,54,78,13,526296.889053,932307.407911,41b2eb93-d4d9-424c-b995-b57bbe54115e
28,29,2020/04/06 05:00:00+00,2100,112,167,1776,55,88,14,526296.889053,932307.407911,db559c37-da91-4800-9880-65ee382124b3
29,30,2020/04/07 05:00:00+00,2249,149,177,1906,59,91,16,526296.889053,932307.407911,39e918cf-9eab-469d-a21f-e9160a3e1e95
30,31,2020/04/08 05:00:00+00,2528,279,194,2154,63,101,16,526296.889053,932307.407911,3e9a5ac9-4046-499f-9752-d970d32380ed
31,32,2020/04/09 05:00:00+00,2752,224,196,2367,66,107,16,526296.889053,932307.407911,011c321a-b514-4edf-a1a4-c8920d873cc6
32,33,2020/04/10 05:00:00+00,2974,222,200,2579,74,104,17,526296.889053,932307.407911,56eb0ff3-9ed0-420c-a5b2-a41ac442ecbe
33,34,2020/04/11 05:00:00+00,3234,260,213,2817,79,102,23,526296.889053,932307.407911,40911f15-6c48-4f4b-9368-b872eba32d62
34,35,2020/04/12 05:00:00+00,3400,166,223,2955,87,106,29,526296.889053,932307.407911,9512f688-be7d-4a55-9489-2be08835866b
35,36,2020/04/13 10:00:00+00,3472,72,229,2983,94,105,61,526296.889053,932307.407911,80556ef8-17bc-4f5c-9e98-39a443794004
36,37,2020/04/14 14:00:00+00,3574,102,230,3071,95,106,72,526296.889053,932307.407911,fa062b43-d023-4fad-b232-720e03576a50
37,38,2020/04/15 09:00:00+00,3751,177,227,3270,103,106,75,526296.889053,932307.407911,f1a3d44e-36c3-438c-ab98-4a976eed3f8c
38,39,2020/04/16 22:00:00+00,4016,265,227,3483,109,99,98,526296.889053,932307.407911,4ff60969-c3fd-40bf-beff-e172a38aeb94
39,40,2020/04/17 16:00:00+00,4210,194,247,3631,116,94,122,526296.889053,932307.407911,b2de22e3-0aed-4e86-af87-fd2c6ae48317
