,OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID
124,125,CHIRIQUÍ,TOLÉ,BELLA VISTA,,,,,,,432876.661491912,905754.922165161,47cc0a81-1cae-4dc6-bf2f-c53a20abf213
125,126,CHIRIQUÍ,TOLÉ,CERRO VIEJO,,,,,,,436903.608649414,912379.425382014,ac021e0b-ea12-4a8d-bb23-26691654141b
126,127,CHIRIQUÍ,TOLÉ,EL CRISTO,,,,,,,433836.989376842,920000.300732614,901afc95-73dc-4692-8a13-c4ea20525495
127,128,CHIRIQUÍ,TOLÉ,JUSTO FIDEL PALACIOS,,,,,,,441049.513113176,920516.408333687,fd1d625b-a4d6-424c-a255-fdfcced5fc63
128,129,CHIRIQUÍ,TOLÉ,LAJAS DE TOLE,,,,,,,425977.845882399,901630.686030161,775ce059-68e0-4061-962b-0c74c32af3f8
129,130,CHIRIQUÍ,TOLÉ,POTRERO DE CAÑA,3.0,0.0,3.0,0.0,0.0,0.0,423478.942914179,915059.014961142,b41fd20b-2f37-45ef-8b5d-0e31ddd636a3
130,131,CHIRIQUÍ,TOLÉ,QUEBRADA DE PIEDRA,1.0,0.0,0.0,0.0,0.0,1.0,425501.386667715,893402.32720086,5df0bc45-bac3-4f13-8693-f5d2cca9d505
131,132,CHIRIQUÍ,TOLÉ,TOLE (CABECERA),15.0,0.0,9.0,0.0,1.0,5.0,422266.023404874,908679.263557261,b6433532-6ea9-4901-bb32-e5302083b7fe
132,133,CHIRIQUÍ,TOLÉ,VELADERO,,,,,,,429213.599042837,910652.543836675,e559182a-f7bb-45f7-8f97-345cd73e48ff
133,134,COCLÉ,AGUADULCE,AGUADULCE (CABECERA),72.0,3.0,31.0,2.0,0.0,36.0,553208.391581272,913016.015441122,ccab1d2f-9b2b-4ce1-864c-29c927cfb82c
134,135,COCLÉ,AGUADULCE,BARRIOS UNIDOS,14.0,0.0,5.0,0.0,0.0,9.0,552485.996461188,907149.79132259,177f0882-449c-4988-b2b5-813eff7f98e4
135,136,COCLÉ,AGUADULCE,EL CRISTO,3.0,0.0,0.0,0.0,0.0,3.0,541052.074667517,912661.785726015,f70eb127-24bb-4197-87e4-10f2a01aeb0e
136,137,COCLÉ,AGUADULCE,EL HATO DE SAN JUAN DE DIOS,3.0,0.0,3.0,0.0,0.0,0.0,535429.8686203,914855.357046038,ead6e562-e1f3-47da-85f1-f945c6cda731
137,138,COCLÉ,AGUADULCE,EL ROBLE,19.0,1.0,5.0,0.0,0.0,13.0,547400.018274417,901295.883713834,d14701df-e7f5-4f3a-a8bf-c91f9ac1b07b
138,139,COCLÉ,AGUADULCE,POCRI,37.0,0.0,23.0,0.0,0.0,14.0,550545.83940231,913248.117462668,97d70fe2-2ceb-403a-9b40-f8341aec43b3
139,140,COCLÉ,AGUADULCE,PUEBLOS UNIDOS,4.0,0.0,4.0,0.0,0.0,0.0,534455.717650043,905542.978208018,e090f37c-4170-4b58-902e-0ac096fdde60
140,141,COCLÉ,AGUADULCE,VIRGEN DEL CARMEN,8.0,0.0,7.0,0.0,0.0,1.0,546579.15477635,912708.414402658,d514eec1-9977-439d-8412-a21c34f748c7
141,142,COCLÉ,ANTÓN,ANTON (CABECERA),42.0,0.0,21.0,2.0,0.0,19.0,579418.258406771,926558.404189408,3e50074a-0e31-4af4-b918-73759b7e9b2e
142,143,COCLÉ,ANTÓN,CABALLERO,8.0,0.0,4.0,0.0,0.0,4.0,587666.539810034,943323.406799125,511503ff-34bf-4f49-a8cb-65bf19659978
143,144,COCLÉ,ANTÓN,CABUYA,5.0,0.0,1.0,0.0,0.0,4.0,595040.393653273,944542.701163651,7529ec94-d44d-47b7-89f8-5131d84fb449
144,145,COCLÉ,ANTÓN,EL CHIRU,4.0,0.0,3.0,0.0,0.0,1.0,586034.682532684,924894.277249525,befb2dcf-3e89-42ed-b85d-ba4ed1ac1428
145,146,COCLÉ,ANTÓN,EL RETIRO,3.0,0.0,3.0,0.0,0.0,0.0,590746.578322537,933819.022041867,9835ce13-9044-46e2-843e-fa0dfc7bdbdc
