,OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID
234,235,COMARCA NGÄBE BUGLÉ,BESIKO,SOLOY (CABECERA),22.0,1.0,12.0,0.0,0.0,9.0,379541.366840772,944566.728960861,18bc0047-c77b-4d06-b960-3815a0da0f65
235,236,COMARCA NGÄBE BUGLÉ,CALOVÉBORA O SANTA CATALINA,ALTO BILINGUE (GDOGUESHIA),,,,,,,469791.979138804,957260.475390307,df2c75cd-cb2e-4ca4-b825-afcde71312cd
236,237,COMARCA NGÄBE BUGLÉ,CALOVÉBORA O SANTA CATALINA,CALOVÉBORA O SANTA CATALINA (BLEDESHIA),31.0,0.0,18.0,0.0,0.0,13.0,466798.61014975,966049.329458334,e095a611-b9e0-4410-85fc-24ec4faba1aa
237,238,COMARCA NGÄBE BUGLÉ,CALOVÉBORA O SANTA CATALINA,LOMA YUCA (LJUICHO),,,,,,,453877.033220576,956356.654448072,3cb75593-d020-4626-864f-5f09fd0d00a9
238,239,COMARCA NGÄBE BUGLÉ,CALOVÉBORA O SANTA CATALINA,SAN PEDRITO ((JIKDI),,,,,,,447730.460912371,969129.327018872,2934ad0d-1ac3-439e-a9be-1ab0c7b82042
239,240,COMARCA NGÄBE BUGLÉ,CALOVÉBORA O SANTA CATALINA,VALLE BONITO (DOGATA),,,,,,,471929.193188738,947793.334069087,6fcad805-b435-4189-974a-d02b86479736
240,241,COMARCA NGÄBE BUGLÉ,JIRONDAI,BURI,52.0,0.0,11.0,1.0,0.0,40.0,363642.69411623,978101.948048486,bf669873-3b6a-4a5d-a126-871d9a82a4e0
241,242,COMARCA NGÄBE BUGLÉ,JIRONDAI,GUARIVIARA,,,,,,,393744.898491751,968152.477704184,5bc61c1d-977f-4f09-a19e-4142d2eeb3e0
242,243,COMARCA NGÄBE BUGLÉ,JIRONDAI,MAN CREEK,4.0,0.0,0.0,0.0,0.0,4.0,381777.363266813,979052.164464424,44e12407-c788-45cc-9c5b-1edded520a37
243,244,COMARCA NGÄBE BUGLÉ,JIRONDAI,SAMBOA (CABECERA),7.0,0.0,0.0,0.0,0.0,7.0,384086.615293882,966469.881155825,68d1c96f-d2c6-4c27-8e4a-8bcba3a57add
244,245,COMARCA NGÄBE BUGLÉ,JIRONDAI,TUWAI,113.0,0.0,55.0,1.0,0.0,57.0,354778.249981758,995211.939282891,f3822ddf-4305-4a84-83b3-5794e64c8312
245,246,COMARCA NGÄBE BUGLÉ,KANKINTÚ,BISIRA (CABECERA),66.0,0.0,35.0,0.0,0.0,31.0,407242.390434426,985910.621095506,1f9b7c9e-7208-41ad-b7cc-b05242fbb18a
246,247,COMARCA NGÄBE BUGLÉ,KANKINTÚ,CALANTE,,,,,,,402792.717474002,970740.693017219,a89afd50-8cae-4ddb-8b6e-f78b78a8983f
247,248,COMARCA NGÄBE BUGLÉ,KANKINTÚ,GUORONÍ,,,,,,,412864.956608153,965050.514871507,827c35d6-1d9b-46ad-916c-3e63a7212b7b
248,249,COMARCA NGÄBE BUGLÉ,KANKINTÚ,KANKINTÚ,134.0,0.0,49.0,2.0,0.0,83.0,409139.655344683,976385.653430224,1d04e01c-4298-4670-a784-be5588a6ec24
249,250,COMARCA NGÄBE BUGLÉ,KANKINTÚ,MÜNÜNÍ,,,,,,,425084.21415335,955351.277968548,a2f3f94c-4fdd-43cc-ba6e-e983cf602dd6
250,251,COMARCA NGÄBE BUGLÉ,KANKINTÚ,PIEDRA ROJA,,,,,,,416861.729164787,953348.293303185,8afc6acb-92ea-4c9c-add9-547275a4c42e
251,252,COMARCA NGÄBE BUGLÉ,KANKINTÚ,TOLOTE,1.0,0.0,0.0,0.0,0.0,1.0,414175.219231055,947048.768203013,f69f7496-5f80-431b-ad51-fa5ebc4a20cc
252,253,COMARCA NGÄBE BUGLÉ,KUSAPÍN,BAHIA AZUL,3.0,0.0,3.0,0.0,0.0,0.0,407293.742908318,1002863.55015385,0de671d8-fb20-480d-a86d-407c4f26430a
253,254,COMARCA NGÄBE BUGLÉ,KUSAPÍN,CAÑAVERAL,4.0,0.0,0.0,0.0,0.0,4.0,420923.57068726,976782.955011935,6fd0708a-dd8f-416b-b559-7e2e54875850
254,255,COMARCA NGÄBE BUGLÉ,KUSAPÍN,KUSAPIN (CABECERA),68.0,0.0,46.0,1.0,0.0,21.0,403410.853049648,1012579.90393729,4161315b-4764-4899-a764-0a85511d76e4
255,256,COMARCA NGÄBE BUGLÉ,KUSAPÍN,RIO CHIRIQUI,,,,,,,432379.293267206,969679.809231329,aea40102-48bd-4611-ad8a-27ed1a579e7c
256,257,COMARCA NGÄBE BUGLÉ,KUSAPÍN,TOBOBE,,,,,,,412902.800128527,1001286.05716683,24608e11-959f-4031-9fc8-03f5d669ce05
257,258,COMARCA NGÄBE BUGLÉ,MIRONÓ,CASCABEL,2.0,0.0,0.0,1.0,0.0,1.0,403179.239483062,946180.177051496,03dbfc11-5849-483c-8d48-076258faf630
258,259,COMARCA NGÄBE BUGLÉ,MIRONÓ,HATO COROTI,1.0,0.0,1.0,0.0,0.0,0.0,394424.582760513,922239.078477704,35a3d0b3-02d0-45c4-8610-0a4f56d7e8a8
259,260,COMARCA NGÄBE BUGLÉ,MIRONÓ,HATO CULANTRO,1.0,0.0,1.0,0.0,0.0,0.0,404794.675317893,934816.638543663,dd5446ad-5dc0-4072-954c-12d3c0345080
260,261,COMARCA NGÄBE BUGLÉ,MIRONÓ,HATO JOBO,1.0,0.0,0.0,0.0,0.0,1.0,401004.553697761,928602.210792584,fc17523c-9c27-45b2-91b2-67d8f1e09f4a
261,262,COMARCA NGÄBE BUGLÉ,MIRONÓ,HATO JULI,2.0,0.0,2.0,0.0,0.0,0.0,406259.129692339,923913.301151193,e4dadba7-c9d0-4a61-b561-b44f19a7082f
262,263,COMARCA NGÄBE BUGLÉ,MIRONÓ,HATO PILON (CABECERA),3.0,0.0,3.0,0.0,0.0,0.0,407955.215839281,927841.662820593,187d0c18-0455-40a5-9d75-67f81ec1df58
263,264,COMARCA NGÄBE BUGLÉ,MIRONÓ,QUEBRADA DE LORO,,,,,,,398209.761155365,923098.323595534,57d3db57-a24a-4c1e-9632-150106f7f8f8
264,265,COMARCA NGÄBE BUGLÉ,MIRONÓ,SALTO DUPI,1.0,0.0,0.0,1.0,0.0,0.0,402264.673570531,923916.231935055,0f7975f1-05fa-4f8e-8966-8758b9d7c45f
265,266,COMARCA NGÄBE BUGLÉ,MÜNA,ALTO CABALLERO,22.0,0.0,20.0,0.0,0.0,2.0,425688.692128403,917371.94076071,337308c4-191c-46e7-9495-b5bb699ad44a
266,267,COMARCA NGÄBE BUGLÉ,MÜNA,BAKAMA,,,,,,,436838.341426999,910105.931989899,56b402e4-8d76-40e6-be04-6b3aa1cd7a1f
267,268,COMARCA NGÄBE BUGLÉ,MÜNA,CERRO CAÑA,3.0,0.0,0.0,0.0,0.0,3.0,430408.501738375,920983.126670514,7d0995fb-cdd5-4eb1-b31c-cc37f3d358bf
268,269,COMARCA NGÄBE BUGLÉ,MÜNA,CERRO PUERCO,10.0,2.0,4.0,0.0,0.0,4.0,416210.281774453,921737.908218045,55882910-9795-4582-8a43-0853dfa5fc2c
269,270,COMARCA NGÄBE BUGLÉ,MÜNA,CHICHICA (Cabecera),110.0,0.0,74.0,0.0,0.0,36.0,425544.540905942,927005.712621491,feb38acb-763d-44c7-a6c9-e3caf5f8744e
270,271,COMARCA NGÄBE BUGLÉ,MÜNA,DIKERI,,,,,,,428627.278901494,924420.047561444,b00a2f98-93b7-4bd7-a4e0-2980d8401502
271,272,COMARCA NGÄBE BUGLÉ,MÜNA,DIKO,,,,,,,421100.191669339,934154.786687519,f3cb777c-e2b4-49f9-9942-d84e926949a1
272,273,COMARCA NGÄBE BUGLÉ,MÜNA,KIKARI,,,,,,,424013.007552906,921709.937233571,2239c6c6-d277-4817-90dc-39779828e14b
273,274,COMARCA NGÄBE BUGLÉ,MÜNA,KRUA,,,,,,,439443.777672665,944235.057385728,6106d369-fae5-4cf5-9999-54eaab7417ee
274,275,COMARCA NGÄBE BUGLÉ,MÜNA,MARACA,,,,,,,420006.715203728,925767.850614537,c8d8f761-79bc-4ffb-a74d-88b630cb501d
275,276,COMARCA NGÄBE BUGLÉ,MÜNA,MREENI,,,,,,,439353.257365527,928039.571833155,371e40d6-3d04-47f1-ad92-f49038f13fc3
276,277,COMARCA NGÄBE BUGLÉ,MÜNA,NIBRA,,,,,,,440834.709196374,915955.544963555,5a3f041a-0be8-400e-9c64-06d595d961c8
277,278,COMARCA NGÄBE BUGLÉ,MÜNA,PEÑA BLANCA,3.0,0.0,3.0,0.0,0.0,0.0,426582.725774291,938801.225541968,22b5ef87-435c-4689-b90b-0f6fc738155a
278,279,COMARCA NGÄBE BUGLÉ,MÜNA,ROKA,2.0,0.0,1.0,0.0,0.0,1.0,432384.794340977,939640.932363711,78499cce-dcc3-4d8a-8b1c-eab6cb77207b
279,280,COMARCA NGÄBE BUGLÉ,MÜNA,SITIO PRADO,1.0,0.0,0.0,0.0,0.0,1.0,434494.429467921,929698.727068774,e0a00d30-e9c6-439c-a552-718da8bcbc37
280,281,COMARCA NGÄBE BUGLÉ,MÜNA,UMANI,1.0,1.0,0.0,0.0,0.0,0.0,420231.900714431,919044.928108642,8d1bace2-27ff-440c-b4ad-50d73bb393b4
281,282,COMARCA NGÄBE BUGLÉ,NOLE DÜIMA,CERRO IGLESIAS (CABECERA),3.0,1.0,0.0,0.0,0.0,2.0,411169.711467795,918949.286828403,938488f3-85dc-422b-8517-448fde3856fe
282,283,COMARCA NGÄBE BUGLÉ,NOLE DÜIMA,HATO CHAMI,19.0,0.0,19.0,0.0,0.0,0.0,415310.696566381,932085.406889302,4658b01a-afcf-45fc-942e-13a71e663676
283,284,COMARCA NGÄBE BUGLÉ,NOLE DÜIMA,JADEBERI,,,,,,,411447.37689063,939014.361056836,d2fcf039-7415-43a5-b273-1c0a56a74404
284,285,COMARCA NGÄBE BUGLÉ,NOLE DÜIMA,LAJERO,13.0,0.0,9.0,0.0,0.0,4.0,414851.148595078,916138.999772836,36e1cefd-72fe-4158-b78d-c1b8e87c5f97
285,286,COMARCA NGÄBE BUGLÉ,NOLE DÜIMA,SUSAMA,14.0,0.0,4.0,0.0,0.0,10.0,411664.459240248,924190.795003984,e2a334f2-ee08-46c2-a349-70706b537377
286,287,COMARCA NGÄBE BUGLÉ,ÑÜRUM,AGUA DE SALUD,,,,,,,452121.322598366,940974.553272418,56c3f6a2-01e6-4aeb-835f-a482a3991f9a
287,288,COMARCA NGÄBE BUGLÉ,ÑÜRUM,ALTO DE JESUS,1.0,0.0,1.0,0.0,0.0,0.0,447841.991429206,913514.081273789,93fd40d8-cd63-4a27-8c5a-8eab6ea01756
288,289,COMARCA NGÄBE BUGLÉ,ÑÜRUM,BUENOS AIRES,2.0,0.0,0.0,0.0,0.0,2.0,446404.029206255,934012.649475613,360e7e93-5cad-4a32-a3ea-3ec6481e3d37
289,290,COMARCA NGÄBE BUGLÉ,ÑÜRUM,CERRO PELADO,45.0,0.0,12.0,0.0,0.0,33.0,440956.438984261,902537.986477916,296b9947-013e-407e-a1f5-53cec2542280
290,291,COMARCA NGÄBE BUGLÉ,ÑÜRUM,EL BALE,,,,,,,458527.061814806,922562.466710572,e662bfc9-6ea2-4110-a580-e731b60343dc
291,292,COMARCA NGÄBE BUGLÉ,ÑÜRUM,EL PAREDON,,,,,,,474933.237917085,938181.91304005,ee9bf26c-b28b-4fcb-8ae1-0aae46288130
292,293,COMARCA NGÄBE BUGLÉ,ÑÜRUM,EL PEÑON,,,,,,,451790.484556614,932392.983977871,f7bd1653-6c74-41b0-9fd8-0df98dda4a37
293,294,COMARCA NGÄBE BUGLÉ,ÑÜRUM,EL PIRO,65.0,0.0,52.0,1.0,0.0,12.0,443223.184203477,910079.03537608,b537ae9e-0d75-4916-9adc-8196067bda58
294,295,COMARCA NGÄBE BUGLÉ,ÑÜRUM,EL PIRO No.2 (MUAKWATA KUBU),2.0,0.0,2.0,0.0,0.0,0.0,443564.830332245,934121.41518822,297274c9-cd31-4ac6-9e76-efb20cc22f18
295,296,COMARCA NGÄBE BUGLÉ,ÑÜRUM,GUAYABITO,1.0,0.0,0.0,0.0,0.0,1.0,447296.151248959,944821.456829643,3fb9501b-6395-4127-b17b-fec34693f892
296,297,COMARCA NGÄBE BUGLÉ,ÑÜRUM,GUIBALE,,,,,,,460707.350349236,940981.208085627,b0335324-f542-4a57-a08f-6d97f09ea2a2
297,298,DARIÉN,CHEPIGANA,CAMOGANTÍ,,,,,,,846122.656959223,892992.996469397,3571b564-9f57-45e6-b843-f754839838f9
298,299,DARIÉN,CHEPIGANA,CHEPIGANA,3.0,2.0,0.0,0.0,0.0,1.0,828104.385661675,896821.068822993,5abf4343-ca9b-42b7-98f9-4bc8ff7a1d5f
299,300,DARIÉN,CHEPIGANA,GARACHINÉ,,,,,,,794104.765916777,887587.840507812,bd73c4ae-c206-4d90-abf5-2fe7ea645ba9
300,301,DARIÉN,CHEPIGANA,JAQUÉ,1.0,0.0,0.0,0.0,0.0,1.0,833678.948511263,826487.100204982,4a891e38-b516-426c-a431-6bc43a403bce
301,302,DARIÉN,CHEPIGANA,LA PALMA (CABECERA),20.0,1.0,11.0,0.0,0.0,8.0,812805.69217453,915518.492356853,6405c67d-e026-4138-91df-58ab34cb17e0
302,303,DARIÉN,CHEPIGANA,PUERTO PIÑA,,,,,,,798809.799258109,862724.303411483,24eb26b6-c522-44a7-9726-67646e6f7aad
303,304,DARIÉN,CHEPIGANA,SAMBÚ,9.0,0.0,5.0,0.0,0.0,4.0,805927.237781655,887684.945786244,55d80fc8-0011-4bb6-bb48-9c0cb1ceb3b9
304,305,DARIÉN,CHEPIGANA,SETEGANTÍ,1.0,0.0,0.0,1.0,0.0,0.0,820812.767532917,914733.808366112,2fef4cbf-3407-44ca-8fab-fc6cef7c1ce2
305,306,DARIÉN,CHEPIGANA,TAIMATÍ,,,,,,,807504.519256443,900433.828866152,f6bcdaf3-ea19-41f8-a507-2d6d4248b9fd
306,307,DARIÉN,CHEPIGANA,TUCUTÍ,1.0,0.0,0.0,0.0,0.0,1.0,846576.46038787,859430.288444991,379cfcb5-e912-45d1-93c5-c57b81d560ec
307,308,DARIÉN,PINOGANA,BOCA DE CUPE,47.0,0.0,4.0,2.0,0.0,41.0,871322.643107806,866140.207203004,8f1b7585-8445-453f-b8a6-5ddcf6e35ccc
308,309,DARIÉN,PINOGANA,COMARCA KUNA DE WARGANDÍ,22.0,0.0,0.0,2.0,0.0,20.0,832389.837741595,985700.162349053,334c6d8e-c388-4684-8918-308c9e85344d
309,310,DARIÉN,PINOGANA,EL REAL DE SANTA MARÍA (CABECERA),23.0,0.0,22.0,0.0,0.0,1.0,859948.705987163,892375.011693748,28b87562-8fac-4511-93ea-2268a4dde952
310,311,DARIÉN,PINOGANA,METETÍ,327.0,3.0,64.0,1.0,2.0,257.0,838200.395292172,949177.347209516,1792dd23-3414-4afc-abf4-9acf28c951f8
311,312,DARIÉN,PINOGANA,PAYA,,,,,,,893411.767522854,866726.747954993,437b8e97-fd3b-4d54-96e7-27317740d1b4
312,313,DARIÉN,PINOGANA,PINOGANA,11.0,0.0,1.0,0.0,0.0,10.0,867506.990341004,896741.879470914,305ce7ee-b16d-423e-9c47-5f6439d3b3a7
313,314,DARIÉN,PINOGANA,PÚCURO,,,,,,,883511.478079215,885306.643130623,c5e91eb8-0c4b-4717-b9de-d13f5b3856d6
314,315,DARIÉN,PINOGANA,YAPE,2.0,0.0,0.0,0.0,0.0,2.0,895869.799507724,893887.198878595,46a4eca4-046a-484f-84ce-d13d39ec7e11
315,316,DARIÉN,PINOGANA,YAVIZA,374.0,8.0,38.0,7.0,0.0,321.0,857036.141112138,908973.768825177,80450ea9-eb8e-40e2-a8db-efa5b35fb16d
316,317,DARIÉN,SANTA FE,AGUA FRÍA,14.0,2.0,4.0,1.0,0.0,7.0,808438.667424984,977805.638914593,3fb0910d-ead2-4899-8623-d89f712ead5e
317,318,DARIÉN,SANTA FE,CUCUNATÍ,2.0,0.0,2.0,0.0,0.0,0.0,803002.268021897,947319.878262288,aff34da3-2d52-447a-812a-ca6413242d05
318,319,DARIÉN,SANTA FE,RÍO CONGO,1.0,0.0,0.0,0.0,0.0,1.0,787923.638514436,946309.399464246,ec63e910-6c56-4c3c-abd3-71540f39a437
319,320,DARIÉN,SANTA FE,RÍO CONGO ARRIBA,4.0,0.0,4.0,0.0,0.0,0.0,786825.860869201,968215.754578233,7bc442a4-1eb0-4c46-9052-03eea5ef5730
320,321,DARIÉN,SANTA FE,RÍO IGLESIAS,3.0,1.0,0.0,0.0,0.0,2.0,832274.497174776,926147.589883769,8539d76e-8567-442c-9e0b-5c9261e7815e
321,322,DARIÉN,SANTA FE,SANTA FE,228.0,2.0,22.0,4.0,0.0,200.0,811411.591578916,963391.425561112,381a7fd0-ebc0-41d2-9c21-48a4b67d8f2f
322,323,DARIÉN,SANTA FE,ZAPALLAL,3.0,0.0,1.0,0.0,0.0,2.0,818454.663484585,954940.07138665,eaa19163-9ea0-4298-a49a-d21d14f0e9e7
323,324,EMBERA WOUNAAN ,CÉMACO,CIRILO GUAINORA (CABECERA),68.0,0.0,9.0,0.0,0.0,59.0,887364.715318489,902597.433866623,d827b391-efe1-4e13-be67-5b30f1e1d8f4
324,325,EMBERA WOUNAAN ,CÉMACO,LAJAS BLANCAS,107.0,1.0,25.0,3.0,0.0,78.0,862147.87746156,946111.382277822,e95fc0c7-7e9f-4039-bebf-32296645a36b
325,326,EMBERA WOUNAAN ,CÉMACO,MANUEL ORTEGA,19.0,0.0,17.0,1.0,0.0,1.0,886172.852769523,921540.980474214,49019a75-ef34-4914-9ec6-68fc4c475bdc
326,327,EMBERA WOUNAAN ,SAMBÚ,JINGURUDÓ,2.0,0.0,2.0,0.0,0.0,0.0,823296.121094874,859871.627201453,35a52b3b-e0e0-470c-b103-71ab2c2fce91
327,328,EMBERA WOUNAAN ,SAMBÚ,RÍO SABALO,2.0,0.0,0.0,0.0,1.0,1.0,807627.823119758,874618.578604038,469a90f4-7453-4cfb-bc56-e98d6c38ad71
328,329,HERRERA,CHITRÉ,CHITRÉ (CABECERA),29.0,0.0,21.0,1.0,0.0,7.0,561880.757286416,879148.229420356,1928bbd6-d0fc-4d8b-95a6-2795c0881987
329,330,HERRERA,CHITRÉ,LA ARENA,16.0,0.0,10.0,1.0,0.0,5.0,557118.355416941,880221.93020268,ace88ea5-66aa-4cec-b124-97510cb658d6
330,331,HERRERA,CHITRÉ,LLANO BONITO,29.0,0.0,9.0,1.0,0.0,19.0,564814.225307967,883268.53369163,4befe9b5-1678-4141-81b5-f800122edae3
331,332,HERRERA,CHITRÉ,MONAGRILLO,61.0,0.0,36.0,0.0,0.0,25.0,560796.236814593,884247.413910824,d9f7422c-ff5e-40e4-97ae-2b904a0e5874
332,333,HERRERA,CHITRÉ,SAN JUAN BAUTISTA,28.0,1.0,15.0,0.0,0.0,12.0,564616.683370955,880738.345309037,7f7cdcf8-ea8f-4739-8ce6-b7f35597f2c0
333,334,HERRERA,LAS MINAS,CHEPO,1.0,0.0,1.0,0.0,0.0,0.0,520010.780073828,847513.708335961,207c42e2-1810-4b16-8543-f2f3b63ab237
334,335,HERRERA,LAS MINAS,CHUMICAL,,,,,,,528956.966789882,866347.048815996,b0a1c5d2-a233-44fa-bfd5-2419b61dda4e
335,336,HERRERA,LAS MINAS,EL TORO,,,,,,,512219.939076314,856935.510391653,8473c3ff-326c-4dd1-9f37-c4b5bf0ac87e
336,337,HERRERA,LAS MINAS,LAS MINAS (CABECERA),1.0,0.0,1.0,0.0,0.0,0.0,529666.620458244,861289.88963786,b00496e7-eb97-4986-b7e2-cf88ed39172a
337,338,HERRERA,LAS MINAS,LEONES,2.0,0.0,0.0,0.0,0.0,2.0,521504.61826314,859850.003002757,c485f22c-f1b4-4cc3-b5fd-70c7adba0b8f
338,339,HERRERA,LAS MINAS,QUEBRADA DEL ROSARIO,,,,,,,529681.777497418,854659.176609963,2eb72146-fcd1-4e7c-988e-00a67d5146a3
339,340,HERRERA,LAS MINAS,QUEBRADA EL CIPRIÁN,,,,,,,526819.461254751,849446.002444152,90795748-39da-4fc7-b9dd-8197233daf82
340,341,HERRERA,LOS POZOS,EL CALABACITO,,,,,,,544596.052244443,852536.066124888,16e70781-5139-49e0-a84f-5dcb7828b4bc
341,342,HERRERA,LOS POZOS,EL CAPURÍ,,,,,,,538636.756740087,854249.14035078,1ce1982c-928b-46e7-a676-4052a84482bf
342,343,HERRERA,LOS POZOS,EL CEDRO,2.0,0.0,1.0,0.0,0.0,1.0,538720.657767341,849558.021715641,a1433ddc-f113-4c66-8661-a61eef5d832c
343,344,HERRERA,LOS POZOS,LA ARENA,,,,,,,544938.028861695,856562.444865187,2c8ccf3e-161a-4072-9dc2-5caa9ce354c7
344,345,HERRERA,LOS POZOS,LA PITALOZA,,,,,,,532985.431808145,840241.047007731,893a5807-68e0-4f4a-b98f-c3e4473c2325
345,346,HERRERA,LOS POZOS,LAS LLANAS,,,,,,,529448.130155152,843689.776938322,fdb28054-88a3-4515-81b1-a7f714df362f
346,347,HERRERA,LOS POZOS,LOS CERRITOS,,,,,,,542513.220011528,861473.767394652,6037016a-ccdf-4148-852e-c6dc7892dcb8
347,348,HERRERA,LOS POZOS,LOS CERROS DE PAJA,,,,,,,534097.206327349,852276.559836084,331f8cd0-2ce1-4af5-ab13-65e14bbb71df
348,349,HERRERA,LOS POZOS,LOS POZOS (CABECERA),11.0,0.0,10.0,0.0,0.0,1.0,537640.279909502,860777.250682979,6aadd3fc-ff0d-4300-8bc2-9a2e83e78d3e
349,350,HERRERA,OCÚ,CERRO LARGO,,,,,,,519916.715648725,865618.457169723,6154d272-a569-484c-b3f4-3bf6ee01a0c2
350,351,HERRERA,OCÚ,EL TIJERA,,,,,,,508290.806283213,866332.230823419,62827bb2-ef98-4fe7-aee2-2d92f5231cd2
351,352,HERRERA,OCÚ,ENTRADERO DEL CASTILLO,,,,,,,514677.405956139,867213.221716994,a91e7fca-d82d-4c4b-8559-e54b47d23919
352,353,HERRERA,OCÚ,LLANO GRANDE,3.0,0.0,3.0,0.0,0.0,0.0,533363.632261584,882000.431184948,a22038b4-b587-48c0-9823-8c17bf003d54
353,354,HERRERA,OCÚ,LOS LLANOS,,,,,,,514164.571727509,876292.336706432,e6c53ebe-e8ef-46a2-a178-164a2c47681f
354,355,HERRERA,OCÚ,MENCHACA,,,,,,,525766.091294396,871740.885981441,ba0c06c5-8f9f-4599-a60a-b1ae6c63007c
355,356,HERRERA,OCÚ,OCÚ (CABECERA),18.0,0.0,14.0,0.0,0.0,4.0,523972.470952691,879276.174404094,330d76fa-8758-47e7-8d8f-552ac476da96
356,357,HERRERA,OCÚ,PEÑAS CHATAS,,,,,,,523031.426945571,887992.937441239,1066b940-2f54-4294-9530-2cad8fe15a11
357,358,HERRERA,PARITA,CABUYA,14.0,0.0,11.0,1.0,0.0,2.0,538511.965927729,887331.454361419,259cf43b-7635-4bfa-b9bf-d644e34f037d
358,359,HERRERA,PARITA,LLANO DE LA CRUZ,,,,,,,540584.052307516,880245.393890047,1cdeb35d-f489-49a6-9ce0-2813cb302cc4
359,360,HERRERA,PARITA,LOS CASTILLOS,1.0,0.0,1.0,0.0,0.0,0.0,542454.348599232,882657.306893907,785bfdeb-28c7-49cd-82a6-2e3b433c93b5
360,361,HERRERA,PARITA,PARÍS,3.0,0.0,2.0,0.0,0.0,1.0,549043.070040004,892378.579896612,d83adb3a-422f-4cdc-9cb5-f56f94cb8d97
361,362,HERRERA,PARITA,PARITA (CABECERA),25.0,2.0,15.0,1.0,0.0,7.0,553883.20855446,886477.397532627,7d41844a-1910-4529-9189-13d01e37a3bb
362,363,HERRERA,PARITA,PORTOBELILLO,1.0,0.0,1.0,0.0,0.0,0.0,545817.254775048,885467.268497875,a442eb09-bbd8-4d56-b5b4-3e36abad133e
363,364,HERRERA,PARITA,POTUGA,3.0,0.0,2.0,1.0,0.0,0.0,541466.049617302,891664.425660503,dee04ef8-4916-4acc-97be-2eacbc6077a2
364,365,HERRERA,PESÉ,EL BARRERO,2.0,0.0,0.0,0.0,0.0,2.0,550056.21630735,876837.262673853,4a861740-2da7-44fb-91fe-210d524f4bb0
365,366,HERRERA,PESÉ,EL CIRUELO,1.0,0.0,0.0,0.0,0.0,1.0,533692.34780735,872824.774745516,5f4c2bec-9e75-4bbf-9f78-3fa4bff22ba0
366,367,HERRERA,PESÉ,EL PÁJARO,,,,,,,546097.624662002,879005.951345791,b0ec5895-e7bc-499c-8e85-26dbd9875d2f
367,368,HERRERA,PESÉ,EL PEDREGOSO,1.0,0.0,1.0,0.0,0.0,0.0,539757.645403075,876589.105615824,35b5bb0b-eb23-4b6d-bbc1-3e89b02bd173
368,369,HERRERA,PESÉ,LAS CABRAS,,,,,,,547718.960091883,871231.371349909,0383c054-3f30-4c0e-8120-396a360a2117
369,370,HERRERA,PESÉ,PESÉ (CABECERA),10.0,0.0,5.0,0.0,0.0,5.0,542652.962906167,874968.686443717,465c5eaa-2ec0-488d-8a1e-20b759e19c41
370,371,HERRERA,PESÉ,RINCÓN HONDO,1.0,0.0,1.0,0.0,0.0,0.0,542648.860855034,866490.624064281,27dd311f-5a1b-4930-ab94-b68026485d53
371,372,HERRERA,PESÉ,SABANAGRANDE,,,,,,,537941.648060357,869653.523628975,2c042bbd-f16d-48ef-8227-93281fac774c
372,373,HERRERA,SANTA MARÍA,CHUPAMPA,,,,,,,524211.464061829,893375.603038319,cd6db253-40a3-4e6c-ad62-16093bcd3468
373,374,HERRERA,SANTA MARÍA,EL LIMÓN,1.0,0.0,1.0,0.0,0.0,0.0,527723.685951546,891306.48962415,321b4858-d26e-433a-a687-8334c533e9f4
374,375,HERRERA,SANTA MARÍA,EL RINCÓN,,,,,,,544153.239878366,897177.90841349,8f5a2215-0540-40be-afc1-88a127ffa5bd
375,376,HERRERA,SANTA MARÍA,LOS CANELOS,9.0,0.0,6.0,0.0,0.0,3.0,530606.122691838,896631.716617955,246090ff-b02c-46db-96a1-1df2118d4a1d
376,377,HERRERA,SANTA MARÍA,SANTA MARÍA (CABECERA),16.0,0.0,13.0,0.0,0.0,3.0,537423.821571367,896298.778982457,4662cc66-f8d4-40ea-a206-c23c3b26db34
377,378,LOS SANTOS,GUARARÉ,EL ESPINAL,,,,,,,575235.683916636,867843.114920867,40d9d974-f9ed-4e80-a987-f20afd54abf3
378,379,LOS SANTOS,GUARARÉ,EL HATO,,,,,,,568265.50443785,859832.993182893,60bbc1a7-6881-43da-99f8-43bfc0cdc538
379,380,LOS SANTOS,GUARARÉ,EL MACANO,,,,,,,565210.481528612,849298.96062572,4507e124-d10f-48c2-acce-1e466ae4ca01
380,381,LOS SANTOS,GUARARÉ,GUARARÉ,4.0,0.0,4.0,0.0,0.0,0.0,579383.438592786,864079.537366118,5a463d8b-7900-4793-ba80-59b8a08f1944
381,382,LOS SANTOS,GUARARÉ,GUARARÉ ARRIBA,,,,,,,571251.75359274,862240.378287354,49e08cc3-2fab-4f0d-8ea9-88f4b83ef05d
382,383,LOS SANTOS,GUARARÉ,LA ENEA,,,,,,,580425.551879026,866873.923598469,ab9d6678-5ba3-4378-ac6a-9e96fee88827
383,384,LOS SANTOS,GUARARÉ,LA PASERA,2.0,1.0,0.0,0.0,0.0,1.0,575956.851305513,862959.252575876,2d4abec0-9544-49a1-a8f2-f6706f57a422
