r0;Comuna;Fecha;DIA;Nuevos Confirmados;Nuevos Fallecidos;Nuevos Recuperados;Población
NA;Aguadulce;43988;2;0;0;0;47568
0;Aguadulce;43989;3;0;0;0;47568
0;Aguadulce;43990;4;0;0;0;47568
2,3;Aguadulce;43991;5;19;1;16;47568
2,3;Aguadulce;43992;6;0;0;0;47568
2,2;Aguadulce;43993;7;8;0;1;47568
2,2;Aguadulce;43994;8;0;0;0;47568
1,3;Aguadulce;43995;9;9;0;36;47568
1,3;Aguadulce;43996;10;7;0;0;47568
1,3;Aguadulce;43997;11;10;0;0;47568
1,3;Aguadulce;43998;12;1;0;0;47568
1,3;Aguadulce;43999;13;0;0;0;47568
1,3;Aguadulce;44000;14;10;0;0;47568
1,3;Aguadulce;44001;15;3;0;0;47568
1,3;Aguadulce;44002;16;4;0;1;47568
NA;Alanje;43988;2;0;0;0;16966
0;Alanje;43989;3;0;0;0;16966
0;Alanje;43990;4;0;0;0;16966
4;Alanje;43991;5;36;0;12;16966
4;Alanje;43992;6;0;0;0;16966
4;Alanje;43993;7;12;0;2;16966
4;Alanje;43994;8;0;0;0;16966
3,6;Alanje;43995;9;73;0;28;16966
3,6;Alanje;43996;10;13;0;0;16966
3,6;Alanje;43997;11;0;0;0;16966
3,5;Alanje;43998;12;15;0;0;16966
3,5;Alanje;43999;13;0;0;0;16966
3,4;Alanje;44000;14;30;0;0;16966
3,4;Alanje;44001;15;21;0;8;16966
3,3;Alanje;44002;16;28;0;0;16966
NA;Almirante;43988;2;0;0;0;29229
0;Almirante;43989;3;0;0;0;29229
0;Almirante;43990;4;0;0;0;29229
-1,8;Almirante;43991;5;7;0;0;29229
-1,4;Almirante;43992;6;0;0;0;29229
-2,5;Almirante;43993;7;15;0;0;29229
-2,2;Almirante;43994;8;0;0;0;29229
0,6;Almirante;43995;9;2;0;3;29229
0,7;Almirante;43996;10;0;0;0;29229
0,9;Almirante;43997;11;0;0;0;29229
0,9;Almirante;43998;12;0;0;0;29229
1;Almirante;43999;13;0;0;0;29229
0,9;Almirante;44000;14;7;0;0;29229
0,9;Almirante;44001;15;0;0;0;29229
0,8;Almirante;44002;16;7;0;0;29229
NA;Antón;43988;2;0;0;0;59470
0;Antón;43989;3;0;0;0;59470
0;Antón;43990;4;0;0;0;59470
3;Antón;43991;5;20;0;10;59470
3;Antón;43992;6;0;0;0;59470
2,9;Antón;43993;7;12;0;1;59470
2,9;Antón;43994;8;0;0;0;59470
2,4;Antón;43995;9;18;0;14;59470
2,4;Antón;43996;10;7;0;1;59470
2,3;Antón;43997;11;16;0;2;59470
2,3;Antón;43998;12;9;0;4;59470
2,4;Antón;43999;13;0;0;0;59470
2,2;Antón;44000;14;21;0;0;59470
2,2;Antón;44001;15;9;0;2;59470
2,1;Antón;44002;16;15;0;0;59470
NA;Arraiján;43988;2;0;0;0;288522
0;Arraiján;43989;3;0;0;0;288522
0;Arraiján;43990;4;0;0;0;288522
-0,5;Arraiján;43991;5;2;0;0;288522
-0,4;Arraiján;43992;6;0;0;0;288522
3,3;Arraiján;43993;7;4;1;2;288522
3,3;Arraiján;43994;8;0;0;0;288522
1,1;Arraiján;43995;9;2;0;12;288522
1,2;Arraiján;43996;10;0;0;0;288522
1,4;Arraiján;43997;11;13;0;5;288522
1,4;Arraiján;43998;12;2;0;0;288522
1,4;Arraiján;43999;13;0;0;0;288522
1,4;Arraiján;44000;14;3;0;0;288522
1,4;Arraiján;44001;15;6;0;2;288522
1,4;Arraiján;44002;16;3;0;0;288522
NA;Atalaya;43988;2;0;0;0;10798
0;Atalaya;43989;3;0;0;0;10798
0;Atalaya;43990;4;0;0;0;10798
-1,3;Atalaya;43991;5;5;0;0;10798
-1;Atalaya;43992;6;0;0;0;10798
-0,8;Atalaya;43993;7;0;0;0;10798
-0,7;Atalaya;43994;8;0;0;0;10798
1,4;Atalaya;43995;9;2;0;3;10798
1,3;Atalaya;43996;10;3;0;0;10798
1,3;Atalaya;43997;11;3;0;0;10798
1,3;Atalaya;43998;12;0;0;0;10798
1,3;Atalaya;43999;13;0;0;0;10798
1,4;Atalaya;44000;14;0;0;0;10798
1,4;Atalaya;44001;15;1;0;0;10798
1,4;Atalaya;44002;16;1;0;0;10798
NA;Balboa;43988;2;0;0;0;3153
0;Balboa;43989;3;0;0;0;3153
0;Balboa;43990;4;0;0;0;3153
-0,5;Balboa;43991;5;2;0;0;3153
-0,4;Balboa;43992;6;0;0;0;3153
2,3;Balboa;43993;7;3;0;2;3153
2,3;Balboa;43994;8;0;0;0;3153
1,1;Balboa;43995;9;0;1;7;3153
1,2;Balboa;43996;10;0;0;0;3153
1,2;Balboa;43997;11;0;0;0;3153
1,2;Balboa;43998;12;0;0;0;3153
1,2;Balboa;43999;13;0;0;0;3153
1,2;Balboa;44000;14;0;0;0;3153
1,2;Balboa;44001;15;2;0;3;3153
1,2;Balboa;44002;16;1;0;0;3153
NA;Barú;43988;2;0;0;0;56924
0;Barú;43989;3;0;0;0;56924
0;Barú;43990;4;0;0;0;56924
0;Barú;43991;5;0;0;0;56924
0;Barú;43992;6;0;0;0;56924
3;Barú;43993;7;2;0;1;56924
3;Barú;43994;8;0;0;0;56924
