r0;Provincia;Fecha;DIA;Nuevos Confirmados;Nuevos Fallecidos;Nuevos Recuperados;Población
1,2;Comarca Emberá Wounaán;43996;12;0;0;0;12171
1,2;Comarca Emberá Wounaán;43997;13;0;0;0;12171
1,2;Comarca Emberá Wounaán;43998;14;0;0;0;12171
-1,1;Comarca Emberá Wounaán;43999;15;83;0;0;12171
-1,2;Comarca Emberá Wounaán;44000;16;8;0;0;12171
-1;Comarca Emberá Wounaán;44001;17;0;0;0;12171
-1,2;Comarca Emberá Wounaán;44002;18;14;0;0;12171
NA;Comarca Kuna Yala;43986;2;5;0;0;40451
-2,5;Comarca Kuna Yala;43987;3;0;0;0;40451
-1,5;Comarca Kuna Yala;43988;4;3;0;0;40451
-1;Comarca Kuna Yala;43989;5;2;0;0;40451
-0,9;Comarca Kuna Yala;43990;6;0;0;0;40451
0,7;Comarca Kuna Yala;43991;7;0;1;3;40451
0,8;Comarca Kuna Yala;43992;8;0;0;0;40451
0,8;Comarca Kuna Yala;43993;9;1;0;1;40451
0,8;Comarca Kuna Yala;43994;10;0;0;0;40451
0,9;Comarca Kuna Yala;43995;11;0;1;4;40451
0,9;Comarca Kuna Yala;43996;12;0;0;0;40451
1;Comarca Kuna Yala;43997;13;0;0;0;40451
1;Comarca Kuna Yala;43998;14;0;0;0;40451
0,3;Comarca Kuna Yala;43999;15;28;0;0;40451
0,3;Comarca Kuna Yala;44000;16;1;0;0;40451
0,6;Comarca Kuna Yala;44001;17;2;0;6;40451
0,6;Comarca Kuna Yala;44002;18;2;0;0;40451
NA;Comarca Ngäbe Buglé;43986;2;0;0;0;203221
-2,5;Comarca Ngäbe Buglé;43987;3;5;0;0;203221
-1,7;Comarca Ngäbe Buglé;43988;4;5;0;0;203221
-1,2;Comarca Ngäbe Buglé;43989;5;4;0;0;203221
-1,2;Comarca Ngäbe Buglé;43990;6;0;0;0;203221
0,9;Comarca Ngäbe Buglé;43991;7;0;0;45;203221
0,9;Comarca Ngäbe Buglé;43992;8;5;0;0;203221
0,9;Comarca Ngäbe Buglé;43993;9;2;1;8;203221
0,9;Comarca Ngäbe Buglé;43994;10;0;0;0;203221
0,9;Comarca Ngäbe Buglé;43995;11;13;0;3;203221
0,9;Comarca Ngäbe Buglé;43996;12;4;0;0;203221
0,9;Comarca Ngäbe Buglé;43997;13;11;0;0;203221
0,9;Comarca Ngäbe Buglé;43998;14;26;0;0;203221
0,8;Comarca Ngäbe Buglé;43999;15;23;0;0;203221
0,8;Comarca Ngäbe Buglé;44000;16;8;0;0;203221
0,8;Comarca Ngäbe Buglé;44001;17;6;0;0;203221
0,8;Comarca Ngäbe Buglé;44002;18;3;0;0;203221
NA;Darién;43986;2;7;0;0;54637
-1,5;Darién;43987;3;10;0;0;54637
-2;Darién;43988;4;3;0;0;54637
-9,7;Darién;43989;5;45;0;0;54637
-7,6;Darién;43990;6;23;0;0;54637
-2,7;Darién;43991;7;3;0;4;54637
-2,4;Darién;43992;8;11;0;0;54637
-0,1;Darién;43993;9;97;0;1;54637
-1,3;Darién;43994;10;57;0;0;54637
1;Darién;43995;11;31;0;27;54637
1;Darién;43996;12;34;0;0;54637
1,1;Darién;43997;13;13;0;1;54637
1;Darién;43998;14;48;0;0;54637
0,8;Darién;43999;15;88;0;0;54637
1,3;Darién;44000;16;75;1;12;54637
1,4;Darién;44001;17;0;1;0;54637
1,4;Darién;44002;18;25;0;5;54637
NA;Herrera;43986;2;1;0;0;112382
-0,5;Herrera;43987;3;0;0;0;112382
-0,3;Herrera;43988;4;1;0;0;112382
-0,3;Herrera;43989;5;0;0;0;112382
-0,2;Herrera;43990;6;1;0;0;112382
0,7;Herrera;43991;7;0;0;2;112382
0,6;Herrera;43992;8;2;0;0;112382
0,6;Herrera;43993;9;1;0;0;112382
0,6;Herrera;43994;10;1;0;0;112382
0,5;Herrera;43995;11;0;0;1;112382
0,5;Herrera;43996;12;0;0;0;112382
0,6;Herrera;43997;13;0;0;0;112382
0,6;Herrera;43998;14;0;0;0;112382
0;Herrera;43999;15;13;0;0;112382
0;Herrera;44000;16;1;0;0;112382
0,1;Herrera;44001;17;0;0;0;112382
0,2;Herrera;44002;18;1;0;1;112382
NA;Los Santos;43986;2;1;0;0;91062
0;Los Santos;43987;3;1;0;0;91062
-0,3;Los Santos;43988;4;0;0;0;91062
-0,3;Los Santos;43989;5;0;0;0;91062
-0,2;Los Santos;43990;6;0;0;0;91062
-0,2;Los Santos;43991;7;0;0;0;91062
-0,2;Los Santos;43992;8;0;0;0;91062
-0,2;Los Santos;43993;9;0;0;0;91062
-0,1;Los Santos;43994;10;0;0;0;91062
-0,1;Los Santos;43995;11;0;0;0;91062
-0,1;Los Santos;43996;12;0;0;0;91062
-0,1;Los Santos;43997;13;0;0;0;91062
-0,1;Los Santos;43998;14;0;0;0;91062
-0,1;Los Santos;43999;15;0;0;0;91062
-0,1;Los Santos;44000;16;0;0;0;91062
1,9;Los Santos;44001;17;1;0;1;91062
1,9;Los Santos;44002;18;0;0;0;91062
NA;Panamá;43986;2;285;11;369;1495691
1,1;Panamá;43987;3;257;11;57;1495691
0,9;Panamá;43988;4;393;0;0;1495691
0,8;Panamá;43989;5;234;0;258;1495691
0,8;Panamá;43990;6;286;0;0;1495691
0,9;Panamá;43991;7;237;19;427;1495691
0,8;Panamá;43992;8;424;0;0;1495691
0,9;Panamá;43993;9;418;10;333;1495691
0,9;Panamá;43994;10;320;0;0;1495691
1,1;Panamá;43995;11;527;6;1651;1495691
1,1;Panamá;43996;12;408;5;3;1495691
1,1;Panamá;43997;13;412;10;18;1495691
1,1;Panamá;43998;14;286;7;8;1495691
1,1;Panamá;43999;15;399;0;0;1495691
1,1;Panamá;44000;16;800;12;27;1495691
1,1;Panamá;44001;17;625;5;396;1495691
1;Panamá;44002;18;638;4;1;1495691
NA;Panamá Oeste;43986;2;61;1;9;579500
2,8;Panamá Oeste;43987;3;94;1;27;579500
1,9;Panamá Oeste;43988;4;74;0;0;579500
1,7;Panamá Oeste;43989;5;79;0;0;579500
1,8;Panamá Oeste;43990;6;60;0;0;579500
0,8;Panamá Oeste;43991;7;32;6;177;579500
0,8;Panamá Oeste;43992;8;98;0;0;579500
0,9;Panamá Oeste;43993;9;108;2;105;579500
0,9;Panamá Oeste;43994;10;123;0;0;579500
1,1;Panamá Oeste;43995;11;138;1;503;579500
1,1;Panamá Oeste;43996;12;88;2;2;579500
1;Panamá Oeste;43997;13;218;1;6;579500
1,1;Panamá Oeste;43998;14;66;2;8;579500
1;Panamá Oeste;43999;15;340;0;0;579500
1;Panamá Oeste;44000;16;252;2;5;579500
1;Panamá Oeste;44001;17;75;1;65;579500
0,9;Panamá Oeste;44002;18;210;2;20;579500
NA;Veraguas;43986;2;18;0;0;235588
0,5;Veraguas;43987;3;13;0;10;235588
1,3;Veraguas;43988;4;2;0;0;235588
0,8;Veraguas;43989;5;26;0;0;235588
1;Veraguas;43990;6;7;0;0;235588
0,9;Veraguas;43991;7;2;0;179;235588
0,9;Veraguas;43992;8;36;0;0;235588
0,9;Veraguas;43993;9;2;0;58;235588
0,9;Veraguas;43994;10;20;0;0;235588
0,9;Veraguas;43995;11;1;1;94;235588
0,9;Veraguas;43996;12;8;0;6;235588
0,9;Veraguas;43997;13;1;0;0;235588
0,9;Veraguas;43998;14;7;0;1;235588
0,9;Veraguas;43999;15;6;0;0;235588
0,9;Veraguas;44000;16;35;0;10;235588
0,9;Veraguas;44001;17;22;0;19;235588
0,9;Veraguas;44002;18;20;0;2;235588
