r0;Provincia;Fecha;DIA;Nuevos Confirmados;Nuevos Fallecidos;Nuevos Recuperados;Población
NA;Bocas del Toro;43986;2;18;0;1;167469
0,2;Bocas del Toro;43987;3;10;1;10;167469
-1,7;Bocas del Toro;43988;4;51;0;0;167469
-0,7;Bocas del Toro;43989;5;9;0;0;167469
-0,2;Bocas del Toro;43990;6;12;0;0;167469
1,9;Bocas del Toro;43991;7;48;1;23;167469
1,9;Bocas del Toro;43992;8;20;0;0;167469
1,9;Bocas del Toro;43993;9;25;0;7;167469
1,6;Bocas del Toro;43994;10;51;0;0;167469
1,3;Bocas del Toro;43995;11;53;1;101;167469
1,3;Bocas del Toro;43996;12;46;0;18;167469
1,3;Bocas del Toro;43997;13;1;0;0;167469
1,3;Bocas del Toro;43998;14;55;0;0;167469
1,3;Bocas del Toro;43999;15;1;0;0;167469
1,3;Bocas del Toro;44000;16;61;0;0;167469
1,3;Bocas del Toro;44001;17;30;0;10;167469
1,3;Bocas del Toro;44002;18;38;0;21;167469
NA;Chiriquí;43986;2;25;0;4;443948
-2;Chiriquí;43987;3;6;1;10;443948
0,9;Chiriquí;43988;4;6;0;0;443948
0,9;Chiriquí;43989;5;12;0;1;443948
0,6;Chiriquí;43990;6;20;0;0;443948
2,6;Chiriquí;43991;7;44;3;15;443948
2;Chiriquí;43992;8;40;0;0;443948
2;Chiriquí;43993;9;21;3;8;443948
2;Chiriquí;43994;10;16;0;0;443948
1,2;Chiriquí;43995;11;32;0;66;443948
1,2;Chiriquí;43996;12;18;0;6;443948
1,2;Chiriquí;43997;13;28;0;4;443948
1,2;Chiriquí;43998;14;29;0;0;443948
1,2;Chiriquí;43999;15;2;0;0;443948
1,1;Chiriquí;44000;16;72;2;1;443948
1,2;Chiriquí;44001;17;33;2;13;443948
1,2;Chiriquí;44002;18;23;2;9;443948
NA;Coclé;43986;2;6;1;0;254899
-3;Coclé;43987;3;1;0;0;254899
-1,8;Coclé;43988;4;5;0;0;254899
-1,3;Coclé;43989;5;3;0;0;254899
-1,1;Coclé;43990;6;2;0;0;254899
-1,6;Coclé;43991;7;1;0;1;254899
-1,5;Coclé;43992;8;3;0;0;254899
1,2;Coclé;43993;9;5;1;12;254899
1,2;Coclé;43994;10;3;0;0;254899
1,5;Coclé;43995;11;12;0;9;254899
1,4;Coclé;43996;12;3;0;5;254899
1,8;Coclé;43997;13;20;0;8;254899
1;Coclé;43998;14;5;0;60;254899
1;Coclé;43999;15;35;0;0;254899
1,1;Coclé;44000;16;20;0;60;254899
1,1;Coclé;44001;17;3;1;0;254899
1,1;Coclé;44002;18;10;0;0;254899
NA;Colón;43986;2;10;1;3;283052
-4,5;Colón;43987;3;22;0;1;283052
1,1;Colón;43988;4;8;0;0;283052
2,2;Colón;43989;5;7;0;0;283052
1,3;Colón;43990;6;18;0;0;283052
0,9;Colón;43991;7;12;0;17;283052
0,9;Colón;43992;8;16;0;0;283052
1,1;Colón;43993;9;20;0;11;283052
0,8;Colón;43994;10;34;0;0;283052
1,4;Colón;43995;11;41;0;58;283052
1,4;Colón;43996;12;18;2;5;283052
1,4;Colón;43997;13;34;0;3;283052
1,4;Colón;43998;14;18;0;0;283052
1,3;Colón;43999;15;49;0;0;283052
1,2;Colón;44000;16;84;2;5;283052
1,3;Colón;44001;17;64;0;10;283052
1,3;Colón;44002;18;18;0;0;283052
NA;Comarca Emberá Wounaán;43986;2;0;0;0;12171
0;Comarca Emberá Wounaán;43987;3;0;0;0;12171
0;Comarca Emberá Wounaán;43988;4;0;0;0;12171
0;Comarca Emberá Wounaán;43989;5;0;0;0;12171
0;Comarca Emberá Wounaán;43990;6;0;0;0;12171
1,3;Comarca Emberá Wounaán;43991;7;0;1;3;12171
1,3;Comarca Emberá Wounaán;43992;8;0;0;0;12171
1,3;Comarca Emberá Wounaán;43993;9;0;0;0;12171
1,3;Comarca Emberá Wounaán;43994;10;0;0;0;12171
1,2;Comarca Emberá Wounaán;43995;11;0;0;3;12171
